,,Jenis Kelamin,,,Loyalitas,,,Umur,,,,,
Waktu,Pembeli,Laki-Laki,Perempuan,Tidak disebutkan,Pembeli baru,Pembeli reguler,Pembeli setia,< 17 tahun,18 - 23 tahun,24 - 34 tahun,35 - 44 tahun,> 45 tahun,Followers
01/10/2024,959,557,122,280,751,149,59,4,65,426,199,103,"43,753"
02/10/2024,899,532,119,248,704,140,55,2,68,389,177,114,"43,846"
03/10/2024,759,454,78,227,572,136,51,2,59,322,137,99,"43,939"
04/10/2024,707,436,87,184,540,116,51,3,49,298,159,88,"44,012"
05/10/2024,528,311,49,168,409,90,29,2,42,203,109,83,"44,070"
06/10/2024,564,326,71,167,446,86,32,0,44,251,93,72,"44,153"
07/10/2024,807,491,87,229,626,137,44,2,54,357,144,110,"44,237"
08/10/2024,785,462,107,216,598,133,54,5,53,349,159,90,"44,323"
09/10/2024,848,522,101,225,648,125,75,2,62,364,157,105,"44,429"
10/10/2024,"1,563",841,209,513,"1,270",190,103,4,122,642,256,202,"44,606"
11/10/2024,731,442,93,196,554,123,54,5,50,315,143,99,"44,704"
12/10/2024,597,350,80,167,472,87,38,1,50,242,127,76,"44,789"
13/10/2024,630,377,80,173,470,120,40,3,46,261,137,92,"44,859"
14/10/2024,714,456,73,185,545,123,46,0,49,310,147,93,"44,965"
15/10/2024,678,424,84,170,510,125,43,1,50,286,146,87,"45,045"
16/10/2024,686,401,77,208,520,104,62,3,44,279,143,99,"45,102"
17/10/2024,615,397,76,142,474,99,42,3,44,265,125,94,"45,180"
18/10/2024,687,438,81,168,531,99,57,5,36,305,149,87,"45,240"
19/10/2024,500,314,50,136,365,93,42,2,31,202,113,73,"45,313"
20/10/2024,434,259,40,135,324,74,36,2,28,177,82,70,"45,388"
21/10/2024,644,392,82,170,468,133,43,4,57,263,130,91,"45,465"
22/10/2024,617,385,71,161,455,112,50,1,27,250,136,101,"45,528"
23/10/2024,543,345,69,129,376,124,43,2,37,229,121,67,"45,589"
24/10/2024,569,353,73,143,416,97,56,1,37,230,132,79,"45,655"
25/10/2024,732,432,100,200,571,108,53,3,61,322,134,96,"45,734"
26/10/2024,578,350,70,158,450,83,45,4,46,260,113,66,"45,825"
27/10/2024,484,310,48,126,383,66,35,4,33,215,99,56,"45,879"
28/10/2024,703,444,66,193,526,125,52,2,37,318,145,81,"45,964"
29/10/2024,744,449,88,207,541,142,61,1,55,330,132,98,"46,035"
30/10/2024,604,349,82,173,458,101,45,3,47,244,122,80,"46,107"
31/10/2024,595,379,69,147,446,106,43,3,32,275,125,71,"46,168"
